issue_number,appid,title,resolution_status,resolution_method,confidence_tier,routing_universe,linked_commits,cw_bug_ids,compat_flags,components,symptom_tags,tag_group
8009,1489630,Carrier Command 2 (1489630),unaddressed,,-,unknown,,,,,Freeze,
4549,351710,Hyperdimension Neptunia Re;Birth2 Sisters Generation (351710),unaddressed,,-,unknown,,,,,Low FPS Audio Issue,
5404,1619990,SUPER PEOPLE CBT (1619990),unaddressed,,-,unknown,,,,,Black Screen,
6291,1577250,The Chant (1577250),addressed,proton_update,B,wine,,,,wine video,Cutscene Issue,
6679,1421390,Tichu (1421390),partially_addressed,community_workaround,C,unknown,,,,,Launch Failure,
7147,2552960,Pioneers of Pagonia Demo (2552960) ,unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue In-game Crash,
8914,2138720,REMATCH (2138720),unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue,
7580,526870,Satisfactory (526870),partially_addressed,community_workaround,C,unknown,,,,,UI Issues,
5428,271590,Grand Theft Auto V stopped working after the last update,unaddressed,,-,unknown,,,,,Launcher / Verification Issue,
5495,1446780,Monster Hunter Rise (1446780),unaddressed,,-,unknown,,,,,Freeze Audio Issue,
6088,1817070,Marvel’s Spider-Man Remastered (1817070),unaddressed,,-,unknown,,,,,Startup Crash Black Screen,
9257,3256600,GUG Demo (3256600),unaddressed,,-,unknown,,,,,In-game Crash Graphic  / Rendering Issue,
6139,1777620,Soul Hackers 2 (1777620),addressed,proton_update,B,graphics,,,,wine shader,Graphic  / Rendering Issue,
6795,2005010,"Warhammer 40,000: Boltgun (2005010)",partially_addressed,upstream_downstream,B,unknown,,,,dinput/xinput controller/input,Cutscene Issue,
8783,774941,Squad - Public Testing (774941),unaddressed,,-,unknown,,,,,Network / Sync Issue,
7290,1599660,Sackboy: A Big Adventure (1599660),partially_addressed,community_workaround,C,unknown,,,,,Controller Issue,
5156,1252330,Deathloop (1252330),unaddressed,,-,unknown,,,hideapu,,Audio Issue,
8292,2677660,Indiana Jones and the Great Circle (2677660),partially_addressed,community_workaround,A,graphics,c29f6f0bef8f0d6122ce9346ccc95ec2fb3da701,,,wine vulkan amd/radv,Graphic  / Rendering Issue,
5662,581320,[581320] Insurgency: Sandstorm EAC module failure,unaddressed,,-,unknown,,,,,Anti-cheat Issue Launch Failure,
7288,1932680,LunarLux (1932680),addressed,upstream_downstream,C,unknown,,,,,Startup Crash Input Configuration Issue Stutter,
6241,1182900,A Plague Tale: Requiem (1182900),partially_addressed,proton_update,B,graphics,,,,wine d3d12 vulkan video,Launch Failure Black Screen,
5026,1313860,"Directx 12, Random Crashing, working on DX12? - EA SPORTS™ FIFA 21 (1313860)",unaddressed,,-,unknown,,,,,In-game Crash,
7127,1599660,Sackboy: A Big Adventure (1599660),addressed,community_workaround,C,unknown,,,,,Controller Issue,
5322,275850,No man's sky crashes after trying to start a game,unaddressed,,-,unknown,,,nohardwarescheduling,,Loading/Saving Crash Cutscene Issue,
6817,1364780,Street Fighter 6 (1364780),addressed,community_workaround,B,graphics,,,,vkd3d-proton d3d12 vulkan,In-game Crash,
7539,2216770,JOY OF PROGRAMMING - Software Engineering Simulator (2216770),addressed,proton_update,B,wine,,,,wine,Launch Failure,
4614,1183030,Layers of Fear VR (appid 1183030),partially_addressed,community_workaround,C,unknown,,,,,In-game Crash,
5133,275850,No Man's Sky (275850) Crashes etc. at random points,unaddressed,,-,unknown,,,nohardwarescheduling,,Freeze Graphic  / Rendering Issue,
6349,1850510,Triangle Strategy (1850510),addressed,upstream_downstream,C,unknown,,,,,Black Screen,
5670,900040,ELEX II (900040),unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue,
6612,1173220,Bleak Faith: Forsaken (1173220),partially_addressed,community_workaround,C,unknown,,,,,Freeze,
7988,594650,Hunt: Showdown 1896 (594650),unaddressed,,-,unknown,,,,,Black Screen Launch Failure,
5510,1832640,Mirror 2: Project X (1832640),partially_addressed,community_workaround,C,unknown,,,,,Launcher / Verification Issue,
6507,2225070,Trackmania (2225070),unaddressed,,-,unknown,,,,,Installation Failure,
